,PSTATABB,PNAME,SECTOR,CNTYNAME,LAT,LON,UTLSRVNM,BANAME,PLFUELCT,NAMEPCAP,PLNGENAN,PLCO2AN,PLGENACL,PLGENAOL,PLGENAGS,PLGENAHY,PLGENABM,PLGENAWI,PLGENASO,PLGENAGT,PLGENAOF,PLGENATN,PLGENATR
1241,CA,Red Bluff,IPP Non-CHP,Tehama,40.1501,-122.2124,California Power Holdings LLC,California Independent System Operator,GAS,46.4,14789.008,8766.512,0,0,14789,0,0,0,0,0,0,14789,0
1242,CA,Red Mountain,Electric Utility,San Diego,33.3944,-117.1889,Metropolitan Water District of S CA,California Independent System Operator,HYDRO,5.9,18421,,0,0,0,18421,0,0,0,0,0,0,18421
1243,CA,Redcrest Solar Farm,IPP Non-CHP,Kern,35.321944,-118.812778,AES Distributed Energy,California Independent System Operator,SOLAR,16.6,27233,,0,0,0,0,0,0,27233,0,0,0,27233
1244,CA,Redding Power Plant,Electric Utility,Shasta,40.507292,-122.423281,City of Redding - (CA),Balancing Authority of Northern California,GAS,183.1,426918,207024.5,0,0,426918,0,0,0,0,0,0,426918,0
1245,CA,Redlands Community Hospital,IPP Non-CHP,San Bernardino,34.03625,-117.206211,Bloom Energy,California Independent System Operator,GAS,1.1,9253,,0,0,9253,0,0,0,0,0,0,9253,0
1246,CA,Redwood 4 Solar Farm,IPP Non-CHP,Kern,35.314198,-118.81192,54 KR 8me LLC,California Independent System Operator,SOLAR,20,48806,,0,0,0,0,0,0,48806,0,0,0,48806
1247,CA,Redwood Coast Airport Microgrid,Electric Utility,Humboldt,40.967222,-124.104444,Redwood Coast Energy Authority,California Independent System Operator,SOLAR,4.4,397,,0,0,0,0,0,0,693,0,0,-296,693
1248,CA,Reedley Community College Solar,IPP Non-CHP,Fresno,36.60563,-119.4577,"Forefront Power, LLC",California Independent System Operator,SOLAR,2.6,3915,,0,0,0,0,0,0,3915,0,0,0,3915
1249,CA,Regulus Solar Project,IPP Non-CHP,Kern,35.3,-118.851944,"Regulus Solar, LLC",California Independent System Operator,SOLAR,60,158279,,0,0,0,0,0,0,158279,0,0,0,158279
1250,CA,Renew Solar ABC Sacramento LLC,IPP Non-CHP,Sacramento,38.39945,-121.29319,Greenbacker Renewable Energy Corporation,Balancing Authority of Northern California,SOLAR,1.7,3439,,0,0,0,0,0,0,3439,0,0,0,3439
1251,CA,RE-VFO LLC,IPP Non-CHP,Tulare,36.353675,-119.400823,RE-VFO LLC,California Independent System Operator,SOLAR,1,1937,,0,0,0,0,0,0,1937,0,0,0,1937
1252,CA,Rialto - High School,IPP Non-CHP,San Bernardino,34.090318,-117.355604,Onyx Asset Services Group,California Independent System Operator,SOLAR,0.9,,,,,,,,,,,,,
1253,CA,Ridgetop,IPP Non-CHP,Kern,35.074,-118.3153,Terra-Gen Operating Co-Wind,California Independent System Operator,WIND,46.8,135462,,0,0,0,0,0,135462,0,0,0,0,135462
1254,CA,Ridgetop Energy LLC,IPP Non-CHP,Kern,35.0697,-118.3167,Terra-Gen Operating Co-Wind,California Independent System Operator,WIND,29,36077,,0,0,0,0,0,36077,0,0,0,0,36077
1255,CA,Rio Bravo Fresno,IPP Non-CHP,Fresno,36.688915,-119.723218,Rio Bravo Fresno,California Independent System Operator,BIOMASS,28,137895,6607.086,0,0,7982.656,0,129912.34,0,0,0,0,7982.656,129912.34
1256,CA,Rio Bravo Hydro Project,IPP Non-CHP,Kern,35.43,-118.8222,Olcese Water District,California Independent System Operator,HYDRO,14,6016,,0,0,0,6016,0,0,0,0,0,0,6016
1257,CA,Rio Bravo Rocklin,IPP Non-CHP,Placer,38.8319,-121.313652,Rio Bravo Rocklin,California Independent System Operator,BIOMASS,27.9,172849,1924.683,0,0,1983.399,0,170865.6,0,0,0,0,1983.399,170865.6
1258,CA,Rio Bravo Solar 1 LLC,IPP Non-CHP,Kern,35.416111,-119.6825,Duke Energy Renewables Services,California Independent System Operator,SOLAR,20,46330,,0,0,0,0,0,0,46330,0,0,0,46330
1259,CA,Rio Bravo Solar II LLC,IPP Non-CHP,Kern,35.4225,-119.629167,Duke Energy Renewables Services,California Independent System Operator,SOLAR,20,46934,,0,0,0,0,0,0,46934,0,0,0,46934
1260,CA,Rio Hondo,Electric Utility,Los Angeles,34.004722,-118.09917,Metropolitan Water District of S CA,California Independent System Operator,HYDRO,1.9,2404,,0,0,0,2404,0,0,0,0,0,0,2404
1261,CA,Ripon Generation Station,Electric Utility,San Joaquin,37.7315,-121.116,Modesto Irrigation District,Balancing Authority of Northern California,GAS,121,19662,14594.279,0,0,19662.001,0,0,0,0,0,0,19662.001,0
1262,CA,Rising Tree Wind Farm,IPP Non-CHP,Kern,35.0775,-118.218333,Rising Tree Wind Farm LLC,California Independent System Operator,WIND,79.2,229092,,0,0,0,0,0,229092,0,0,0,0,229092
1263,CA,Rising Tree Wind Farm II,IPP Non-CHP,Kern,35.088889,-118.206389,Rising Tree Wind Farm II LLC,California Independent System Operator,WIND,19.8,52644,,0,0,0,0,0,52644,0,0,0,0,52644
1264,CA,Rising Tree Wind Farm III,IPP Non-CHP,Kern,35.060556,-118.243333,Rising Tree Wind Farm III LLC,California Independent System Operator,WIND,99,261731,,0,0,0,0,0,261731,0,0,0,0,261731
1265,CA,Riverside Energy Resource Center,Electric Utility,Riverside,33.9636,-117.4528,City of Riverside - (CA),California Independent System Operator,GAS,196,78556,50849.849,0,0,78555.999,0,0,0,0,0,0,78555.999,0
1266,CA,Riverview Energy Center,IPP Non-CHP,Contra Costa,38.014423,-121.790679,Gilroy Energy Center for Riverview,California Independent System Operator,GAS,47,17871,11489.713,0,0,17871,0,0,0,0,0,0,17871,0
1267,CA,Roaring Creek Water Power,IPP Non-CHP,Shasta,40.882061,-121.948353,Shasta Hydroelectric Inc,California Independent System Operator,HYDRO,2,2684,,0,0,0,2684,0,0,0,0,0,0,2684
1268,CA,Robbs Peak,Electric Utility,El Dorado,38.896511,-120.378292,Sacramento Municipal Util Dist,Balancing Authority of Northern California,HYDRO,25.5,19350,,0,0,0,19350,0,0,0,0,0,0,19350
1269,CA,Robert O Schulz Solar Farm,Electric Utility,Stanislaus,37.8583,-120.8917,South San Joaquin Irr District,California Independent System Operator,SOLAR,1.3,2132,,0,0,0,0,0,0,2132,0,0,0,2132
1270,CA,Rock Creek,Electric Utility,Plumas,39.90521,-121.345226,Pacific Gas & Electric Co.,California Independent System Operator,HYDRO,126,264501,,0,0,0,264501,0,0,0,0,0,0,264501
1271,CA,Rock Creek LP,IPP Non-CHP,El Dorado,38.78342,-120.778506,Hydroland Omega LLC,California Independent System Operator,HYDRO,3,608,,0,0,0,608,0,0,0,0,0,0,608
1272,CA,Rockwood,Electric Utility,Imperial,32.9553,-115.5364,Imperial Irrigation District,Imperial Irrigation District,GAS,49.8,2890,2790.589,0,1062.229,1827.771,0,0,0,0,0,0,2890,0
